[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=100s target=90k/s gen=398,700 (4988/s) emit=398,700 (4988/s) drop=0 (0.0%) q=0
[Source-1] t=110s target=90k/s gen=623,700 (22500/s) emit=566,204 (16750/s) drop=12,495 (2.0%) q=45000
[Source-1] t=120s target=90k/s gen=848,700 (22498/s) emit=681,505 (11529/s) drop=125,627 (14.8%) q=41567
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=130s target=90k/s gen=900,900 (5220/s) emit=707,705 (2620/s) drop=151,178 (16.8%) q=42016
[Source-1] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=30s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=40s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=50s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=60s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=100s target=90k/s gen=405,075 (5623/s) emit=405,075 (5623/s) drop=0 (0.0%) q=0
