[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=39s target=15k/s gen=143,475 (2062/s) emit=143,475 (2062/s) drop=0 (0.0%) q=0
[Source-1] t=49s target=15k/s gen=180,600 (3750/s) emit=180,600 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=49s target=15k/s gen=180,975 (3750/s) emit=180,975 (3750/s) drop=0 (0.0%) q=0
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=58s target=15k/s gen=190,050 (1028/s) emit=190,050 (1028/s) drop=0 (0.0%) q=0
[Source-4] t=58s target=15k/s gen=190,200 (1003/s) emit=190,200 (1003/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=42,075 (4208/s) emit=42,075 (4208/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=19,650 (1965/s) emit=19,650 (1965/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=79,575 (3750/s) emit=79,575 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=57,150 (3750/s) emit=57,150 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=30s target=15k/s gen=113,325 (3221/s) emit=113,325 (3221/s) drop=0 (0.0%) q=0
[Source-1] t=30s target=15k/s gen=90,750 (3221/s) emit=90,750 (3221/s) drop=0 (0.0%) q=0
[Source-4] t=40s target=15k/s gen=150,750 (3742/s) emit=150,750 (3742/s) drop=0 (0.0%) q=0
[Source-1] t=40s target=15k/s gen=128,175 (3742/s) emit=128,175 (3742/s) drop=0 (0.0%) q=0
[Source-4] t=51s target=15k/s gen=188,250 (3750/s) emit=188,250 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=50s target=15k/s gen=165,675 (3750/s) emit=165,675 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=61s target=15k/s gen=225,750 (3750/s) emit=225,750 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=60s target=15k/s gen=203,175 (3750/s) emit=203,175 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=70s target=15k/s gen=263,250 (4085/s) emit=263,250 (4085/s) drop=0 (0.0%) q=0
[Source-1] t=70s target=15k/s gen=240,675 (4085/s) emit=240,675 (4085/s) drop=0 (0.0%) q=0
